40,AMC Portugal,1
41,AMC Movies,1
45,TLN Network,1
52,ST Novela P,1
79,Star Comedy Portugal,1
81,Star Life Portugal,1
82,Star Channel Portugal,1
83,Canal Hollywood Portugal,1
84,ST Movies Plus,1
150,ST Kungfu,1
172,RTP Internacional Europa,1
174,TVI Internacional,1
178,SIC Internacional África,1
179,SIC Mulher,1
242,National Geographic Wild South Africa,1
250,ST Sports Focus,1
255,Canal 11(Portugal),1
256,ESPN Africa,1
257,ESPN 2 Africa,1
311,CNN Portugal,1
312,SIC Notícias,1
330,24 Kitchen Portugal,1
350,ST Kids,1
355,Toonami,1
360,JimJam Europe,1
361,Panda Kids,1
365,Boing Africa,1
371,Biggs,1
372,Disney Channel Portugal,1
373,Disney Jr Portugal,1
430,Afro Music Channel,1
454,Emmanuel TV,1
501,StarLife,1
911,Antena Nacional,2
912,RM Desporto,2
913,EP Cabo Delgado,2
917,EP Inhambane,2
918,EP Nampula,2
